ID,KenmerkenHuishouden,RegioS,Perioden,ParticuliereHuishoudens_1,ParticuliereHuishoudensRelatief_2,TotaalVermogen_3,GemiddeldVermogen_4,MediaanVermogen_5,Regionaam,RegioType
0,1050010,NL01,2011JJ00,7347.5,100,1213.1,165.1,32.8,Netherlands,Country
1,1050010,NL01,2012JJ00,7412.1,100,1141.6,154.0,25.5,Netherlands,Country
2,1050010,NL01,2013JJ00,7467.8,100,1029.7,137.9,17.2,Netherlands,Country
3,1050010,NL01,2014JJ00,7496.4,100,1042.9,139.1,16.8,Netherlands,Country
4,1050010,NL01,2015JJ00,7568.5,100,1096.4,144.9,20.1,Netherlands,Country
5,1050010,NL01,2016JJ00,7623.2,100,1167.2,153.1,22.2,Netherlands,Country
6,1050010,NL01,2017JJ00,7694.9,100,1269.3,164.9,28.3,Netherlands,Country
7,1050010,NL01,2018JJ00,7760.6,100,1415.2,182.4,37.6,Netherlands,Country
8,1050010,NL01,2019JJ00,7823.9,100,1537.5,196.5,49.8,Netherlands,Country
4023,1050015,NL01,2011JJ00,2623.5,36,252.2,96.1,8.5,Netherlands,Country
4024,1050015,NL01,2012JJ00,2673.3,36,246.0,92.0,7.1,Netherlands,Country
4025,1050015,NL01,2013JJ00,2713.4,36,230.2,84.8,4.8,Netherlands,Country
4026,1050015,NL01,2014JJ00,2721.7,36,234.3,86.1,4.8,Netherlands,Country
4027,1050015,NL01,2015JJ00,2782.7,37,242.1,87.0,6.4,Netherlands,Country
4028,1050015,NL01,2016JJ00,2820.4,37,257.3,91.2,6.9,Netherlands,Country
4029,1050015,NL01,2017JJ00,2872.5,37,282.7,98.4,8.2,Netherlands,Country
4030,1050015,NL01,2018JJ00,2910.1,37,311.2,106.9,9.6,Netherlands,Country
4031,1050015,NL01,2019JJ00,2947.1,38,331.4,112.4,11.0,Netherlands,Country
8046,1016010,NL01,2011JJ00,4724.0,64,960.9,203.4,71.5,Netherlands,Country
8047,1016010,NL01,2012JJ00,4738.8,64,895.5,189.0,56.1,Netherlands,Country
8048,1016010,NL01,2013JJ00,4754.4,64,799.6,168.2,38.1,Netherlands,Country
8049,1016010,NL01,2014JJ00,4774.7,64,808.6,169.4,37.0,Netherlands,Country
8050,1016010,NL01,2015JJ00,4785.8,63,854.2,178.5,42.2,Netherlands,Country
8051,1016010,NL01,2016JJ00,4802.8,63,909.9,189.4,47.9,Netherlands,Country
8052,1016010,NL01,2017JJ00,4822.4,63,986.5,204.6,59.6,Netherlands,Country
8053,1016010,NL01,2018JJ00,4850.5,63,1104.0,227.6,75.9,Netherlands,Country
