ID,KenmerkenHuishouden,RegioS,Perioden,ParticuliereHuishoudens_1,ParticuliereHuishoudensRelatief_2,TotaalVermogen_3,GemiddeldVermogen_4,MediaanVermogen_5,Regionaam,RegioType
45,1050010,PV20,2011JJ00,274.6,100,32.0,116.5,20.0,Groningen,Province
46,1050010,PV20,2012JJ00,277.3,100,29.7,107.2,14.8,Groningen,Province
47,1050010,PV20,2013JJ00,279.6,100,26.8,95.9,8.6,Groningen,Province
48,1050010,PV20,2014JJ00,280.1,100,27.3,97.3,8.4,Groningen,Province
49,1050010,PV20,2015JJ00,282.9,100,28.7,101.5,10.3,Groningen,Province
50,1050010,PV20,2016JJ00,283.7,100,30.3,106.9,11.3,Groningen,Province
51,1050010,PV20,2017JJ00,284.5,100,31.6,111.0,14.0,Groningen,Province
52,1050010,PV20,2018JJ00,285.5,100,34.3,120.1,17.2,Groningen,Province
53,1050010,PV20,2019JJ00,286.6,100,36.6,127.9,22.4,Groningen,Province
54,1050010,PV21,2011JJ00,279.8,100,41.3,147.7,48.0,Fryslân,Province
55,1050010,PV21,2012JJ00,281.1,100,38.9,138.3,38.5,Fryslân,Province
56,1050010,PV21,2013JJ00,282.5,100,35.4,125.5,27.2,Fryslân,Province
57,1050010,PV21,2014JJ00,283.3,100,35.4,124.9,25.3,Fryslân,Province
58,1050010,PV21,2015JJ00,284.6,100,36.3,127.5,27.7,Fryslân,Province
59,1050010,PV21,2016JJ00,285.4,100,37.8,132.5,29.4,Fryslân,Province
60,1050010,PV21,2017JJ00,287.4,100,40.5,141.0,36.1,Fryslân,Province
61,1050010,PV21,2018JJ00,288.7,100,44.4,153.7,43.7,Fryslân,Province
62,1050010,PV21,2019JJ00,290.4,100,48.0,165.3,53.2,Fryslân,Province
63,1050010,PV22,2011JJ00,208.8,100,33.0,158.0,59.4,Drenthe,Province
64,1050010,PV22,2012JJ00,209.9,100,30.8,146.9,47.7,Drenthe,Province
65,1050010,PV22,2013JJ00,210.7,100,27.6,131.1,33.2,Drenthe,Province
66,1050010,PV22,2014JJ00,210.6,100,27.8,131.9,31.6,Drenthe,Province
67,1050010,PV22,2015JJ00,211.5,100,28.8,136.3,35.0,Drenthe,Province
68,1050010,PV22,2016JJ00,212.2,100,30.1,142.0,38.0,Drenthe,Province
69,1050010,PV22,2017JJ00,214.3,100,32.3,150.9,43.3,Drenthe,Province
70,1050010,PV22,2018JJ00,215.7,100,35.3,163.7,51.0,Drenthe,Province
71,1050010,PV22,2019JJ00,217.0,100,38.1,175.6,62.2,Drenthe,Province
72,1050010,PV23,2011JJ00,474.6,100,73.6,155.0,40.4,Overijssel,Province
73,1050010,PV23,2012JJ00,477.9,100,70.0,146.5,31.8,Overijssel,Province
74,1050010,PV23,2013JJ00,481.0,100,63.9,132.8,22.1,Overijssel,Province
75,1050010,PV23,2014JJ00,480.0,100,64.3,133.9,22.0,Overijssel,Province
76,1050010,PV23,2015JJ00,483.4,100,67.4,139.4,24.7,Overijssel,Province
77,1050010,PV23,2016JJ00,486.6,100,71.6,147.2,27.7,Overijssel,Province
78,1050010,PV23,2017JJ00,491.2,100,76.8,156.2,33.2,Overijssel,Province
79,1050010,PV23,2018JJ00,495.0,100,83.9,169.5,42.1,Overijssel,Province
80,1050010,PV23,2019JJ00,499.4,100,91.1,182.3,53.0,Overijssel,Province
81,1050010,PV24,2011JJ00,157.4,100,15.3,97.3,13.8,Flevoland,Province
82,1050010,PV24,2012JJ00,159.9,100,14.2,88.6,7.9,Flevoland,Province
83,1050010,PV24,2013JJ00,161.4,100,12.3,76.0,2.8,Flevoland,Province
84,1050010,PV24,2014JJ00,162.2,100,12.9,79.6,3.0,Flevoland,Province
85,1050010,PV24,2015JJ00,163.9,100,14.3,87.3,5.8,Flevoland,Province
86,1050010,PV24,2016JJ00,165.4,100,15.6,94.0,7.9,Flevoland,Province
87,1050010,PV24,2017JJ00,167.5,100,17.4,103.8,13.4,Flevoland,Province
88,1050010,PV24,2018JJ00,169.6,100,20.0,118.2,22.1,Flevoland,Province
89,1050010,PV24,2019JJ00,172.3,100,23.2,134.8,38.5,Flevoland,Province
90,1050010,PV25,2011JJ00,850.9,100,152.8,179.6,49.9,Gelderland,Province
91,1050010,PV25,2012JJ00,859.1,100,143.1,166.6,38.5,Gelderland,Province
92,1050010,PV25,2013JJ00,867.6,100,129.6,149.4,26.1,Gelderland,Province
93,1050010,PV25,2014JJ00,871.5,100,129.7,148.8,24.8,Gelderland,Province
94,1050010,PV25,2015JJ00,880.2,100,134.6,152.9,27.5,Gelderland,Province
95,1050010,PV25,2016JJ00,886.8,100,141.1,159.1,29.6,Gelderland,Province
96,1050010,PV25,2017JJ00,896.8,100,150.1,167.4,36.3,Gelderland,Province
97,1050010,PV25,2018JJ00,905.2,100,166.5,183.9,46.3,Gelderland,Province
98,1050010,PV25,2019JJ00,913.9,100,181.3,198.4,59.6,Gelderland,Province
99,1050010,PV26,2011JJ00,555.5,100,104.5,188.2,36.2,Utrecht,Province
100,1050010,PV26,2012JJ00,560.4,100,99.5,177.6,28.6,Utrecht,Province
101,1050010,PV26,2013JJ00,565.6,100,90.4,159.8,19.3,Utrecht,Province
102,1050010,PV26,2014JJ00,569.2,100,90.8,159.6,18.7,Utrecht,Province
103,1050010,PV26,2015JJ00,575.8,100,95.8,166.4,22.3,Utrecht,Province
104,1050010,PV26,2016JJ00,580.9,100,102.0,175.7,25.6,Utrecht,Province
